time,CS1_waiting_num,CS1_charging_num,CS1_waiting_time,CS2_waiting_num,CS2_charging_num,CS2_waiting_time,CS3_waiting_num,CS3_charging_num,CS3_waiting_time,CS4_waiting_num,CS4_charging_num,CS4_waiting_time,CS5_waiting_num,CS5_charging_num,CS5_waiting_time,CS6_waiting_num,CS6_charging_num,CS6_waiting_time,CS7_waiting_num,CS7_charging_num,CS7_waiting_time,CS8_waiting_num,CS8_charging_num,CS8_waiting_time,CS0_waiting_num,CS0_charging_num,CS0_waiting_time,CS9_waiting_num,CS9_charging_num,CS9_waiting_time
0.11,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0,2,0.06375000000000007,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0,2,0.05375000000000007,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0,2,0.04375000000000007,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41,0,2,0.033750000000000065,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0,2,0.023750000000000063,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43,0,2,0.013750000000000063,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.53,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.57,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.61,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.67,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.69,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.71,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.73,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.77,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.79,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.81,0,2,0.9204166666666669,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82,0,2,0.9104166666666669,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.83,0,2,0.9004166666666669,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0,2,0.8904166666666669,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0,2,0.8804166666666668,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0,2,0.8704166666666668,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.87,0,2,0.8604166666666668,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0,2,0.8504166666666668,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.89,0,2,0.8404166666666668,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0,2,0.8304166666666668,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0,2,0.8204166666666668,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0,2,0.8104166666666668,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.93,0,2,0.8004166666666668,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.94,0,2,0.7904166666666668,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0,2,0.7804166666666668,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.7141666666666666,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0,2,0.7704166666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.7041666666666666,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97,0,2,0.7604166666666667,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.6941666666666666,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0,2,0.7504166666666667,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.6841666666666666,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99,0,2,0.7404166666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.6741666666666666,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2,0.7304166666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.6641666666666666,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01,0,2,0.7204166666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.6541666666666666,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02,0,2,0.7104166666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.6441666666666666,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.03,0,2,0.7004166666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.6341666666666665,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.04,1,2,1.120416666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.6241666666666665,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.05,1,2,1.110416666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.6141666666666665,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.06,1,2,1.100416666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.6041666666666665,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.07,1,2,1.090416666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.5941666666666665,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.08,1,2,1.080416666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.5841666666666665,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.09,1,2,1.070416666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.5741666666666665,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,1,2,1.060416666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.5641666666666665,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.11,1,2,1.050416666666667,0,2,0.9624999999999999,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.5541666666666665,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.12,1,2,1.040416666666667,0,2,0.9524999999999999,0,1,0.0,0,0,0.0,0,0,0.0,1,2,1.174166666666667,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.13,1,2,1.030416666666667,0,2,0.9424999999999999,0,1,0.0,0,0,0.0,0,0,0.0,1,2,1.164166666666667,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.14,1,2,1.020416666666667,0,2,0.9324999999999999,0,1,0.0,0,0,0.0,0,0,0.0,1,2,1.154166666666667,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.15,1,2,1.010416666666667,0,2,0.9224999999999999,0,1,0.0,0,0,0.0,0,0,0.0,1,2,1.144166666666667,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.16,1,2,1.000416666666667,0,2,0.9124999999999999,0,1,0.0,0,0,0.0,0,0,0.0,1,2,1.134166666666667,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.17,1,2,0.990416666666667,0,2,0.9024999999999999,0,1,0.0,0,0,0.0,0,0,0.0,1,2,1.124166666666667,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.18,1,2,0.9804166666666669,0,2,0.8924999999999998,0,2,0.8999999999999995,0,0,0.0,0,0,0.0,1,2,1.114166666666667,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.19,1,2,0.9704166666666669,0,2,0.8824999999999998,0,2,0.8899999999999995,0,0,0.0,0,0,0.0,1,2,1.104166666666667,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,1,2,0.9604166666666669,0,2,0.8724999999999998,0,2,0.8799999999999994,0,0,0.0,0,0,0.0,1,2,1.094166666666667,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.21,1,2,0.9504166666666669,0,2,0.8624999999999998,0,2,0.8699999999999994,0,0,0.0,0,0,0.0,1,2,1.084166666666667,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.22,1,2,0.9404166666666669,0,2,0.8524999999999998,0,2,0.8599999999999994,0,0,0.0,0,0,0.0,1,2,1.074166666666667,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.23,1,2,0.9304166666666669,0,2,0.8424999999999998,0,2,0.8499999999999994,0,0,0.0,0,0,0.0,1,2,1.064166666666667,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.24,1,2,0.9204166666666669,0,2,0.8324999999999998,0,2,0.8399999999999994,0,0,0.0,0,0,0.0,1,2,1.054166666666667,0,2,1.0712499999999998,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,1,2,0.9104166666666669,0,2,0.8224999999999998,0,2,0.8299999999999994,0,0,0.0,0,0,0.0,1,2,1.044166666666667,0,2,1.0612499999999998,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.26,1,2,0.9004166666666669,0,2,0.8124999999999998,0,2,0.8199999999999994,0,0,0.0,0,0,0.0,1,2,1.034166666666667,0,2,1.0512499999999998,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.27,1,2,0.8904166666666669,0,2,0.8024999999999998,0,2,0.8099999999999994,0,0,0.0,0,0,0.0,1,2,1.024166666666667,0,2,1.0412499999999998,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.28,1,2,0.8804166666666668,0,2,0.7924999999999998,0,2,0.7999999999999994,0,0,0.0,0,0,0.0,1,2,1.0141666666666669,0,2,1.0312499999999998,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.29,1,2,0.8704166666666668,0,2,0.7824999999999998,0,2,0.7899999999999994,0,0,0.0,0,0,0.0,1,2,1.0041666666666669,0,2,1.0212499999999998,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,1,2,0.8604166666666668,0,2,0.7724999999999997,0,2,0.7799999999999994,0,0,0.0,0,0,0.0,1,2,0.9941666666666669,0,2,1.0112499999999998,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.31,1,2,0.8504166666666668,0,2,0.7624999999999997,0,2,0.7699999999999994,0,0,0.0,0,0,0.0,1,2,0.9841666666666669,0,2,1.0012499999999998,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32,1,2,0.8404166666666668,0,2,0.7524999999999997,0,2,0.7599999999999993,0,0,0.0,0,0,0.0,1,2,0.9741666666666668,0,2,0.9912499999999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.33,1,2,0.8304166666666668,0,2,0.7424999999999997,0,2,0.7499999999999993,0,0,0.0,0,0,0.0,1,2,0.9641666666666668,0,2,0.9812499999999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.34,1,2,0.8204166666666668,0,2,0.7324999999999997,0,2,0.7399999999999993,0,0,0.0,0,0,0.0,1,2,0.9541666666666668,0,2,0.9712499999999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.35,1,2,0.8104166666666668,0,2,0.7224999999999997,0,2,0.7299999999999993,0,0,0.0,0,0,0.0,1,2,0.9441666666666668,0,2,0.9612499999999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.36,1,2,0.8004166666666668,0,2,0.7124999999999997,0,2,0.7199999999999993,0,0,0.0,0,0,0.0,1,2,0.9341666666666668,0,2,0.9512499999999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.37,1,2,0.7904166666666668,1,2,0.8424999999999998,0,2,0.7099999999999993,0,0,0.0,0,0,0.0,1,2,0.9241666666666668,0,2,0.9412499999999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
